date,amb_temp_max_c,amb_temp_min_c,amb_temp_avg_c,humidity,wind_gust_kph,blower_id,site_id,operational_class,max_op_ambient_temp_c,failure_threshold,max_op_rpm,daily_op_hours,cumulative_op_hours,daily_load_percent,rpm,dust_index,pressure_diff_psi,casing_temperature_c,vibration_mm_s,daily_degradation,degradation_index,maintenance_event,maintenance_threshold,health_score,maintenance_event_triggered,failure_event,RUL_days,maintenance_due_90d,previous_maintenance_event,maintenance_cycle,days_since_maintenance,cycle_start_cumulative_hours,hours_since_maintenance,Option_B_Reduced_With_Duty_Class_rf_predicted_RUL_days,Option_B_Reduced_With_Duty_Class_rf_maintenance_due_90d_pred,data_split
2025-01-01,35.77777777777778,23.55555555555556,29.33333333333333,63.9,17.2,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,22.457075619631645,22.457075619631645,95.3701888336128,2861.105665008384,43.98,13.5621615845135,50.359493803949135,5.715648995131838,0.0073769671939764,0.0073769671939764,0,0.6,99.26230328060235,0,0,165.10354313832482,0,0,0,0,22.457075619631645,0.0,153.93874528983503,0,train
2025-01-02,31.77777777777778,20.72222222222222,26.05555555555556,79.5,15.0,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,20.440023840639256,42.8970994602709,79.79488239831205,2393.8464719493613,32.3,12.14218334335578,41.82933487208988,5.213524741505751,0.0055929182141776,0.0129698854081541,0,0.6,98.70301145918458,0,0,164.17326992974003,0,0,0,1,22.457075619631645,20.440023840639256,147.5074219574083,0,train
2025-01-03,31.61111111111111,22.22222222222222,26.611111111111114,78.3,13.9,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,23.125676793709687,66.0227762539806,79.24424987896776,2377.327496369033,33.49,11.591518317978847,41.79469325349343,5.3450151415717,0.0052635613530078,0.0182334467611619,0,0.6,98.1766553238838,0,0,163.29777883172383,0,0,0,2,22.457075619631645,43.56570063434895,133.92093950812497,0,train
2025-01-04,32.72222222222222,23.72222222222222,28.000000000000004,71.4,12.9,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,23.41084707458682,89.43362332856742,86.41614334281836,2592.484300284551,30.98,12.329523223097514,46.45721006751919,4.884268082940059,0.0057004973185902,0.0239339440797521,0,0.6,97.6066055920248,0,0,162.3496119306504,0,0,0,3,22.457075619631645,66.97654770893578,154.4379872906843,0,train
2025-01-05,34.111111111111114,22.5,29.38888888888889,66.3,19.8,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,20.0,109.43362332856742,90.91069633339724,2727.320890001917,46.3,13.282835705078686,49.75070373564174,5.307526007447418,0.0066687392025899,0.0306026832823421,0,0.6,96.93973167176578,0,0,161.24039681652943,0,0,0,4,22.457075619631645,86.97654770893578,162.59329057983982,0,train
2025-01-06,33.5,23.277777777777786,28.000000000000004,73.6,15.2,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,20.04673073970652,129.48035406827395,85.07998238892462,2552.399471667739,35.48,12.435848249316226,45.73149158926139,5.353841393309562,0.0052995608991068,0.0359022441814489,0,0.6,96.4097755818551,0,0,160.35891789391528,0,0,0,5,22.457075619631645,107.02327844864232,159.9048908799471,0,train
2025-01-07,33.5,24.05555555555556,28.83333333333333,69.6,12.3,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,22.19176060475093,151.67211467302488,94.30272413305892,2829.081723991768,35.57,12.918367519201029,45.97109073819547,5.437128996235886,0.0062815501697614,0.0421837943512104,0,0.6,95.78162056487896,0,0,159.31410414775726,0,0,0,6,22.457075619631645,129.21503905339324,135.69209147916948,0,train
2025-01-08,34.44444444444444,22.27777777777777,28.666666666666668,69.2,29.1,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,21.525636111484623,173.1977507845095,90.99755787796568,2729.9267363389704,62.55,13.455478153774695,45.61927295485337,5.068253864849485,0.0054633222698961,0.0476471166211065,0,0.6,95.23528833788934,0,0,158.40538670492654,1,0,0,7,22.457075619631645,150.74067516487787,152.96415301103173,0,train
2025-01-09,26.55555555555556,21.05555555555556,23.55555555555556,90.0,23.0,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,21.974798263743565,195.17254904825307,90.89274046823044,2726.782214046913,32.41,12.503549524131689,39.82410952294286,5.412743144033434,0.0056590890506053,0.0533062056717119,0,0.6,94.66937943282882,0,0,157.46410726418156,1,0,0,8,22.457075619631645,172.71547342862144,165.14870446697248,0,train
2025-01-10,30.444444444444443,21.5,24.388888888888893,88.4,19.6,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,20.72043410863963,215.8929831568927,88.87881550926865,2666.3644652780595,24.51,11.29693640346797,39.18107542267284,5.268472684944975,0.005253771963975,0.0585599776356869,0,0.6,94.1440022364313,0,0,156.5902444407077,1,0,0,9,22.457075619631645,193.43590753726107,162.2107877413361,0,train
2025-01-11,29.77777777777778,22.11111111111111,24.5,89.2,23.0,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,23.319096962294243,239.21208011918696,100.0,3000.0,45.84,13.725561578429792,44.899564986228505,5.692593224720411,0.0052347947536847,0.0637947723893717,0,0.6,93.62052276106284,0,0,155.71953810721465,1,0,0,10,22.457075619631645,216.75500449955533,161.1372491875264,0,train
